
TracePro Release: 7 3 4 
Incident Ray Table for 

Linear Units in millimeters
Data for screen Surface 1
Data generated at 14:01:33 October 07, 2025

Ray     	Start   	Split   
Number  	Number  	Number  	Type        	Hist        	Inc Flux      	Abso Flux     	X Pos.        	Y Pos.        	Z Pos.        	X Vec.        	Y Vec.        	Z Vec.        	X Norm        	Y Norm        	Z Norm        	S0            	S1            	S2            	S3            	DegOfPol      	ElliRatio     	X MajAxis     	Y MajAxis     	Z MajAxis     	
Wavelength = 0.5 (Source: mysource)
     264	     264	       5	    SpecTran	      NoInfo	      0.855773	      0.855773	      -4.30847	       3.68567	      -1.18109	     -0.791281	      0.590423	     -0.158982	      0.788011	     -0.615661	             0	      0.855773	             0	             0	             0	             0	             0	             0	             0	             0	
     265	     265	       5	    SpecTran	      NoInfo	      0.216297	      0.216297	      -3.55232	       4.65351	       1.67848	     -0.687029	      0.700516	      0.193051	      0.788011	     -0.615661	             0	      0.216297	             0	             0	             0	             0	             0	             0	             0	             0	
     266	     266	       5	    SpecTran	      NoInfo	      0.389231	      0.389231	      -3.73878	       4.41485	     0.0744547	     -0.732304	      0.680645	     0.0212932	      0.788011	     -0.615661	             0	      0.389231	             0	             0	             0	             0	             0	             0	             0	             0	
     267	     267	       5	    SpecTran	      NoInfo	      0.111937	      0.111937	      -3.26474	       5.02159	      0.637109	     -0.656881	      0.749699	     0.0803682	      0.788011	     -0.615661	             0	      0.111937	             0	             0	             0	             0	             0	             0	             0	             0	
     268	     268	       5	    SpecTran	      NoInfo	      0.855796	      0.855796	      -4.62587	       3.27942	      0.746323	      -0.82252	      0.559588	        0.1016	      0.788011	     -0.615661	             0	      0.855796	             0	             0	             0	             0	             0	             0	             0	             0	
     269	     269	       5	    SpecTran	      NoInfo	      0.855681	      0.855681	      -4.37622	       3.59896	       1.77751	     -0.775191	      0.589957	      0.225898	      0.788011	     -0.615661	             0	      0.855681	             0	             0	             0	             0	             0	             0	             0	             0	
     270	     270	       5	    SpecTran	      NoInfo	      0.855613	      0.855613	      -3.85024	       4.27219	      -2.04368	      -0.72016	      0.649627	     -0.243627	      0.788011	     -0.615661	             0	      0.855613	             0	             0	             0	             0	             0	             0	             0	             0	
     271	     271	       5	    SpecTran	      NoInfo	      0.855808	      0.855808	      -3.98027	       4.10575	     -0.152377	     -0.748031	       0.66353	    -0.0133005	      0.788011	     -0.615661	             0	      0.855808	             0	             0	             0	             0	             0	             0	             0	             0	
     272	     272	       5	    SpecTran	      NoInfo	      0.855689	      0.855689	      -5.01289	       2.78406	       1.40127	     -0.858465	      0.484728	      0.167559	      0.788011	     -0.615661	             0	      0.855689	             0	             0	             0	             0	             0	             0	             0	             0	
     273	     273	       5	    SpecTran	      NoInfo	      0.855697	      0.855697	      -5.34549	       2.35835	    -0.0628527	      -0.90358	      0.428406	    0.00326432	      0.788011	     -0.615661	             0	      0.855697	             0	             0	             0	             0	             0	             0	             0	             0	
     274	     274	       5	    SpecTran	      NoInfo	      0.855748	      0.855748	      -3.93407	       4.16489	        1.3918	     -0.735154	      0.655191	      0.173991	      0.788011	     -0.615661	             0	      0.855748	             0	             0	             0	             0	             0	             0	             0	             0	
     275	     275	       5	    SpecTran	      NoInfo	      0.855607	      0.855607	      -4.18483	       3.84392	       2.06776	     -0.749427	      0.611415	       0.25403	      0.788011	     -0.615661	             0	      0.855607	             0	             0	             0	             0	             0	             0	             0	             0	
     276	     276	       5	    SpecTran	      NoInfo	        0.3311	        0.3311	      -3.80958	       4.32422	      0.988698	     -0.717695	      0.683831	      0.131487	      0.788011	     -0.615661	             0	        0.3311	             0	             0	             0	             0	             0	             0	             0	             0	
     277	     277	       5	    SpecTran	      NoInfo	      0.855752	      0.855752	      -5.04706	       2.74032	       0.66918	     -0.871213	      0.481991	     0.0931237	      0.788011	     -0.615661	             0	      0.855752	             0	             0	             0	             0	             0	             0	             0	             0	
     278	     278	       5	    SpecTran	      NoInfo	      0.855769	      0.855769	      -5.11155	       2.65778	     -0.222778	     -0.874589	      0.482453	    -0.0483032	      0.788011	     -0.615661	             0	      0.855769	             0	             0	             0	             0	             0	             0	             0	             0	
     279	     279	       5	    SpecTran	      NoInfo	      0.855792	      0.855792	      -4.68928	       3.19826	      0.567617	     -0.843569	      0.530907	     0.0808031	      0.788011	     -0.615661	             0	      0.855792	             0	             0	             0	             0	             0	             0	             0	             0	
     280	     280	       5	    SpecTran	      NoInfo	      0.855603	      0.855603	      -4.75813	       3.11014	      -2.01994	     -0.806974	      0.537182	     -0.245414	      0.788011	     -0.615661	             0	      0.855603	             0	             0	             0	             0	             0	             0	             0	             0	
     281	     281	       5	    SpecTran	      NoInfo	      0.855809	      0.855809	      -4.48077	       3.46515	     0.0971442	      -0.81429	      0.580448	   -0.00336172	      0.788011	     -0.615661	             0	      0.855809	             0	             0	             0	             0	             0	             0	             0	             0	
     282	     282	       5	    SpecTran	      NoInfo	      0.855806	      0.855806	      -4.52419	       3.40956	      0.407469	     -0.814213	       0.57693	     0.0648671	      0.788011	     -0.615661	             0	      0.855806	             0	             0	             0	             0	             0	             0	             0	             0	
     283	     283	       5	    SpecTran	      NoInfo	     0.0687356	     0.0687356	      -2.91289	       5.47194	     -0.229179	      -0.60516	      0.795026	    -0.0414048	      0.788011	     -0.615661	             0	     0.0687356	             0	             0	             0	             0	             0	             0	             0	             0	
     284	     284	       5	    SpecTran	      NoInfo	      0.855804	      0.855804	       -4.4479	       3.50722	     -0.729473	      -0.80755	      0.583962	    -0.0827664	      0.788011	     -0.615661	             0	      0.855804	             0	             0	             0	             0	             0	             0	             0	             0	
     285	     285	       5	    SpecTran	      NoInfo	      0.855785	      0.855785	      -4.91797	       2.90556	       0.31302	     -0.865196	      0.500339	     0.0331254	      0.788011	     -0.615661	             0	      0.855785	             0	             0	             0	             0	             0	             0	             0	             0	
     286	     286	       5	    SpecTran	      NoInfo	      0.855682	      0.855682	      -5.14843	       2.61057	      -1.09272	     -0.877343	      0.459384	      -0.13869	      0.788011	     -0.615661	             0	      0.855682	             0	             0	             0	             0	             0	             0	             0	             0	
     287	     287	       5	    SpecTran	      NoInfo	       0.85578	       0.85578	      -5.03764	       2.75238	    -0.0969523	     -0.871513	      0.490362	   -0.00339642	      0.788011	     -0.615661	             0	       0.85578	             0	             0	             0	             0	             0	             0	             0	             0	
     288	     288	       5	    SpecTran	      NoInfo	      0.148697	      0.148697	      -3.48693	        4.7372	       1.68965	     -0.662108	       0.72359	      0.195013	      0.788011	     -0.615661	             0	      0.148697	             0	             0	             0	             0	             0	             0	             0	             0	
     289	     289	       5	    SpecTran	      NoInfo	      0.855682	      0.855682	      -5.33345	       2.37376	       0.40756	     -0.902499	      0.427082	     0.0556406	      0.788011	     -0.615661	             0	      0.855682	             0	             0	             0	             0	             0	             0	             0	             0	
     290	     290	       5	    SpecTran	      NoInfo	      0.310579	      0.310579	      -3.79833	       4.33863	       1.54147	     -0.704054	      0.683465	       0.19283	      0.788011	     -0.615661	             0	      0.310579	             0	             0	             0	             0	             0	             0	             0	             0	
     291	     291	       5	    SpecTran	      NoInfo	      0.855776	      0.855776	      -4.99968	       2.80097	      0.639235	     -0.859103	       0.50469	     0.0850345	      0.788011	     -0.615661	             0	      0.855776	             0	             0	             0	             0	             0	             0	             0	             0	
     292	     292	       5	    SpecTran	      NoInfo	      0.855703	      0.855703	      -4.90904	       2.91699	       -1.5226	     -0.842228	       0.50818	     -0.180016	      0.788011	     -0.615661	             0	      0.855703	             0	             0	             0	             0	             0	             0	             0	             0	
     293	     293	       5	    SpecTran	      NoInfo	       0.21607	       0.21607	      -3.61462	       4.57377	     -0.736043	     -0.705428	      0.705229	    -0.0708698	      0.788011	     -0.615661	             0	       0.21607	             0	             0	             0	             0	             0	             0	             0	             0	
     294	     294	       5	    SpecTran	      NoInfo	      0.855809	      0.855809	      -3.97842	       4.10812	     -0.198344	     -0.754202	      0.656617	   -0.00580296	      0.788011	     -0.615661	             0	      0.855809	             0	             0	             0	             0	             0	             0	             0	             0	
     295	     295	       5	    SpecTran	      NoInfo	      0.855805	      0.855805	      -4.25544	       3.75355	     -0.873284	     -0.778794	      0.621537	    -0.0846816	      0.788011	     -0.615661	             0	      0.855805	             0	             0	             0	             0	             0	             0	             0	             0	
     296	     296	       5	    SpecTran	      NoInfo	      0.855753	      0.855753	      -5.16643	       2.58754	     -0.797515	     -0.876134	      0.475946	      -0.07658	      0.788011	     -0.615661	             0	      0.855753	             0	             0	             0	             0	             0	             0	             0	             0	
     297	     297	       5	    SpecTran	      NoInfo	      0.855776	      0.855776	        -4.718	       3.16151	        0.9748	     -0.840347	      0.528786	      0.119176	      0.788011	     -0.615661	             0	      0.855776	             0	             0	             0	             0	             0	             0	             0	             0	
     298	     298	       5	    SpecTran	      NoInfo	      0.135084	      0.135084	      -3.38618	       4.86615	      0.135395	     -0.676795	      0.736081	     0.0115839	      0.788011	     -0.615661	             0	      0.135084	             0	             0	             0	             0	             0	             0	             0	             0	
     299	     299	       5	    SpecTran	      NoInfo	     0.0704763	     0.0704763	        -2.984	       5.38093	       0.22625	      -0.60929	      0.792694	     0.0200444	      0.788011	     -0.615661	             0	     0.0704763	             0	             0	             0	             0	             0	             0	             0	             0	
     300	     300	       5	    SpecTran	      NoInfo	      0.097082	      0.097082	      -3.25979	       5.02793	       0.77894	     -0.641203	      0.761228	     0.0969079	      0.788011	     -0.615661	             0	      0.097082	             0	             0	             0	             0	             0	             0	             0	             0	
     301	     301	       5	    SpecTran	      NoInfo	      0.369912	      0.369912	      -3.89042	       4.22075	       1.16346	     -0.720023	       0.67959	      0.140444	      0.788011	     -0.615661	             0	      0.369912	             0	             0	             0	             0	             0	             0	             0	             0	
     302	     302	       5	    SpecTran	      NoInfo	      0.855755	      0.855755	      -4.11229	       3.93678	       1.50215	     -0.748581	      0.639881	       0.17372	      0.788011	     -0.615661	             0	      0.855755	             0	             0	             0	             0	             0	             0	             0	             0	
     303	     303	       5	    SpecTran	      NoInfo	      0.855685	      0.855685	      -4.34794	       3.63515	       1.94497	     -0.787191	       0.57528	      0.222223	      0.788011	     -0.615661	             0	      0.855685	             0	             0	             0	             0	             0	             0	             0	             0	
     304	     304	       5	    SpecTran	      NoInfo	      0.855781	      0.855781	      -4.05727	        4.0072	       1.16514	     -0.751079	      0.644629	      0.142598	      0.788011	     -0.615661	             0	      0.855781	             0	             0	             0	             0	             0	             0	             0	             0	
     305	     305	       5	    SpecTran	      NoInfo	      0.855713	      0.855713	      -5.41016	       2.27558	     -0.315127	     -0.898992	      0.437391	    -0.0223984	      0.788011	     -0.615661	             0	      0.855713	             0	             0	             0	             0	             0	             0	             0	             0	
     306	     306	       5	    SpecTran	      NoInfo	      0.855808	      0.855808	      -4.22568	       3.79164	      0.391824	     -0.781309	      0.620559	     0.0667951	      0.788011	     -0.615661	             0	      0.855808	             0	             0	             0	             0	             0	             0	             0	             0	
     307	     307	       5	    SpecTran	      NoInfo	     0.0959284	     0.0959284	      -3.17978	       5.13034	     -0.390541	     -0.644473	      0.763418	    -0.0429854	      0.788011	     -0.615661	             0	     0.0959284	             0	             0	             0	             0	             0	             0	             0	             0	
     308	     308	       5	    SpecTran	      NoInfo	      0.855751	      0.855751	      -4.77107	       3.09358	      -1.19811	     -0.838518	      0.523619	     -0.150701	      0.788011	     -0.615661	             0	      0.855751	             0	             0	             0	             0	             0	             0	             0	             0	
     309	     309	       5	    SpecTran	      NoInfo	      0.102536	      0.102536	      -3.35156	       4.91046	     -0.907119	      -0.64617	      0.756392	     -0.101659	      0.788011	     -0.615661	             0	      0.102536	             0	             0	             0	             0	             0	             0	             0	             0	
     310	     310	       5	    SpecTran	      NoInfo	      0.855612	      0.855612	      -5.25519	       2.47392	       1.48214	     -0.880341	      0.444469	      0.165672	      0.788011	     -0.615661	             0	      0.855612	             0	             0	             0	             0	             0	             0	             0	             0	
     311	     311	       5	    SpecTran	      NoInfo	      0.855805	      0.855805	      -4.75262	       3.11719	     -0.192853	     -0.832795	      0.552677	    -0.0316384	      0.788011	     -0.615661	             0	      0.855805	             0	             0	             0	             0	             0	             0	             0	             0	
     312	     312	       5	    SpecTran	      NoInfo	      0.855645	      0.855645	      -5.11883	       2.64847	      -1.26664	     -0.869524	      0.463183	     -0.171435	      0.788011	     -0.615661	             0	      0.855645	             0	             0	             0	             0	             0	             0	             0	             0	
     313	     313	       5	    SpecTran	      NoInfo	      0.855802	      0.855802	       -4.5551	          3.37	     -0.496919	     -0.830825	      0.552939	    -0.0631611	      0.788011	     -0.615661	             0	      0.855802	             0	             0	             0	             0	             0	             0	             0	             0	
     314	     314	       5	    SpecTran	      NoInfo	      0.375819	      0.375819	      -3.91628	       4.18766	       1.12611	     -0.720914	      0.679174	      0.137861	      0.788011	     -0.615661	             0	      0.375819	             0	             0	             0	             0	             0	             0	             0	             0	
     315	     315	       5	    SpecTran	      NoInfo	      0.104876	      0.104876	      -3.31049	       4.96303	     -0.725227	     -0.647678	       0.75431	     -0.107375	      0.788011	     -0.615661	             0	      0.104876	             0	             0	             0	             0	             0	             0	             0	             0	
     316	     316	       5	    SpecTran	      NoInfo	      0.118506	      0.118506	      -3.27967	       5.00248	      -1.15284	     -0.656511	       0.74373	     -0.125931	      0.788011	     -0.615661	             0	      0.118506	             0	             0	             0	             0	             0	             0	             0	             0	
     317	     317	       5	    SpecTran	      NoInfo	      0.855727	      0.855727	      -4.19556	       3.83019	      -1.55641	     -0.755964	      0.623539	     -0.199292	      0.788011	     -0.615661	             0	      0.855727	             0	             0	             0	             0	             0	             0	             0	             0	
     318	     318	       5	    SpecTran	      NoInfo	      0.107722	      0.107722	      -3.25492	       5.03416	       1.21193	     -0.643555	      0.750369	      0.150942	      0.788011	     -0.615661	             0	      0.107722	             0	             0	             0	             0	             0	             0	             0	             0	
     319	     319	       5	    SpecTran	      NoInfo	      0.855805	      0.855805	       -3.9948	       4.08715	      0.533838	     -0.756224	      0.650614	     0.0694784	      0.788011	     -0.615661	             0	      0.855805	             0	             0	             0	             0	             0	             0	             0	             0	
     320	     320	       5	    SpecTran	      NoInfo	      0.855791	      0.855791	      -4.88994	       2.94143	      0.359154	     -0.857238	      0.513037	     0.0440057	      0.788011	     -0.615661	             0	      0.855791	             0	             0	             0	             0	             0	             0	             0	             0	
     321	     321	       5	    SpecTran	      NoInfo	     0.0925259	     0.0925259	      -3.15833	       5.15778	      0.151444	     -0.641699	       0.76687	     0.0114914	      0.788011	     -0.615661	             0	     0.0925259	             0	             0	             0	             0	             0	             0	             0	             0	
     322	     322	       5	    SpecTran	      NoInfo	       0.85567	       0.85567	      -5.40061	        2.2878	      0.516211	     -0.899361	      0.429035	     0.0841394	      0.788011	     -0.615661	             0	       0.85567	             0	             0	             0	             0	             0	             0	             0	             0	
     323	     323	       5	    SpecTran	      NoInfo	      0.855751	      0.855751	      -5.12878	       2.63573	        0.1985	     -0.886633	      0.461917	     0.0226928	      0.788011	     -0.615661	             0	      0.855751	             0	             0	             0	             0	             0	             0	             0	             0	
     324	     324	       5	    SpecTran	      NoInfo	      0.416017	      0.416017	      -3.84562	        4.2781	       0.84331	     -0.730776	      0.677842	     0.0805968	      0.788011	     -0.615661	             0	      0.416017	             0	             0	             0	             0	             0	             0	             0	             0	
     325	     325	       5	    SpecTran	      NoInfo	      0.855762	      0.855762	      -4.82612	       3.02312	       1.02487	     -0.849565	      0.512435	        0.1251	      0.788011	     -0.615661	             0	      0.855762	             0	             0	             0	             0	             0	             0	             0	             0	
     326	     326	       5	    SpecTran	      NoInfo	      0.226751	      0.226751	       -3.5645	       4.63791	      -1.87424	     -0.686799	       0.69728	     -0.205205	      0.788011	     -0.615661	             0	      0.226751	             0	             0	             0	             0	             0	             0	             0	             0	
     327	     327	       5	    SpecTran	      NoInfo	      0.855798	      0.855798	      -4.20907	        3.8129	       1.01549	     -0.779279	      0.616284	      0.113655	      0.788011	     -0.615661	             0	      0.855798	             0	             0	             0	             0	             0	             0	             0	             0	
     328	     328	       5	    SpecTran	      NoInfo	      0.855685	      0.855685	      -4.61922	       3.28793	      -1.85011	     -0.814759	       0.53993	     -0.211288	      0.788011	     -0.615661	             0	      0.855685	             0	             0	             0	             0	             0	             0	             0	             0	
     329	     329	       5	    SpecTran	      NoInfo	      0.855779	      0.855779	      -4.73531	       3.13935	      -1.10135	     -0.832448	       0.53971	     -0.125473	      0.788011	     -0.615661	             0	      0.855779	             0	             0	             0	             0	             0	             0	             0	             0	
     330	     330	       5	    SpecTran	      NoInfo	      0.855696	      0.855696	      -5.41961	       2.26349	     -0.141239	     -0.903682	      0.428199	   -0.00217407	      0.788011	     -0.615661	             0	      0.855696	             0	             0	             0	             0	             0	             0	             0	             0	
     331	     331	       5	    SpecTran	      NoInfo	      0.287043	      0.287043	      -3.77608	       4.36711	       1.83631	     -0.694836	      0.685198	      0.218419	      0.788011	     -0.615661	             0	      0.287043	             0	             0	             0	             0	             0	             0	             0	             0	
     332	     332	       5	    SpecTran	      NoInfo	      0.855716	      0.855716	      -4.11429	       3.93421	      -1.65181	     -0.758077	      0.618426	      -0.20705	      0.788011	     -0.615661	             0	      0.855716	             0	             0	             0	             0	             0	             0	             0	             0	
     333	     333	       5	    SpecTran	      NoInfo	      0.855788	      0.855788	      -4.96526	       2.84502	      0.558103	     -0.857897	      0.510852	     0.0551669	      0.788011	     -0.615661	             0	      0.855788	             0	             0	             0	             0	             0	             0	             0	             0	
     334	     334	       5	    SpecTran	      NoInfo	      0.855803	      0.855803	      -4.42171	       3.54073	      0.782754	     -0.801143	      0.591244	     0.0927376	      0.788011	     -0.615661	             0	      0.855803	             0	             0	             0	             0	             0	             0	             0	             0	
     335	     335	       5	    SpecTran	      NoInfo	      0.855671	      0.855671	      -5.41648	       2.26749	     -0.931909	       -0.8911	      0.439829	     -0.111762	      0.788011	     -0.615661	             0	      0.855671	             0	             0	             0	             0	             0	             0	             0	             0	
     336	     336	       5	    SpecTran	      NoInfo	      0.855805	      0.855805	      -4.31013	       3.68355	     -0.515813	     -0.789155	      0.608277	    -0.0850468	      0.788011	     -0.615661	             0	      0.855805	             0	             0	             0	             0	             0	             0	             0	             0	
     337	     337	       5	    SpecTran	      NoInfo	      0.300114	      0.300114	      -3.83227	       4.29518	      0.768993	      -0.72006	      0.689222	     0.0805427	      0.788011	     -0.615661	             0	      0.300114	             0	             0	             0	             0	             0	             0	             0	             0	
     338	     338	       5	    SpecTran	      NoInfo	      0.855798	      0.855798	      -4.66284	        3.2321	      0.631239	     -0.825652	       0.55664	     0.0919309	      0.788011	     -0.615661	             0	      0.855798	             0	             0	             0	             0	             0	             0	             0	             0	
     339	     339	       5	    SpecTran	      NoInfo	      0.855738	      0.855738	       -4.8506	       2.99178	       1.18995	     -0.838087	      0.520984	      0.161824	      0.788011	     -0.615661	             0	      0.855738	             0	             0	             0	             0	             0	             0	             0	             0	
     340	     340	       5	    SpecTran	      NoInfo	      0.855777	      0.855777	      -4.53058	       3.40138	       1.18915	     -0.822301	      0.552076	      0.137962	      0.788011	     -0.615661	             0	      0.855777	             0	             0	             0	             0	             0	             0	             0	             0	
     341	     341	       5	    SpecTran	      NoInfo	      0.108668	      0.108668	      -3.32453	       4.94506	         1.195	     -0.644855	      0.749767	      0.148363	      0.788011	     -0.615661	             0	      0.108668	             0	             0	             0	             0	             0	             0	             0	             0	
     342	     342	       5	    SpecTran	      NoInfo	      0.855671	      0.855671	       -5.3323	       2.37523	      0.790126	     -0.896333	      0.433045	      0.095183	      0.788011	     -0.615661	             0	      0.855671	             0	             0	             0	             0	             0	             0	             0	             0	
     343	     343	       5	    SpecTran	      NoInfo	      0.131464	      0.131464	      -3.43149	       4.80816	     -0.720221	     -0.672168	      0.737486	    -0.0656072	      0.788011	     -0.615661	             0	      0.131464	             0	             0	             0	             0	             0	             0	             0	             0	
     344	     344	       5	    SpecTran	      NoInfo	      0.855776	      0.855776	      -4.14204	       3.89869	       1.07658	     -0.757129	      0.635369	      0.151859	      0.788011	     -0.615661	             0	      0.855776	             0	             0	             0	             0	             0	             0	             0	             0	
     345	     345	       5	    SpecTran	      NoInfo	       0.85581	       0.85581	      -4.40439	       3.56291	     -0.293924	     -0.806539	      0.591005	    -0.0144331	      0.788011	     -0.615661	             0	       0.85581	             0	             0	             0	             0	             0	             0	             0	             0	
     346	     346	       5	    SpecTran	      NoInfo	      0.459882	      0.459882	      -3.88556	       4.22698	     -0.244247	      -0.73677	      0.676098	   -0.00780852	      0.788011	     -0.615661	             0	      0.459882	             0	             0	             0	             0	             0	             0	             0	             0	
     347	     347	       5	    SpecTran	      NoInfo	      0.185403	      0.185403	      -3.61904	       4.56811	      0.684808	     -0.694574	      0.713602	     0.0913195	      0.788011	     -0.615661	             0	      0.185403	             0	             0	             0	             0	             0	             0	             0	             0	
     348	     348	       5	    SpecTran	      NoInfo	      0.855808	      0.855808	       -4.4055	       3.56149	     -0.332157	       -0.8048	      0.591297	    -0.0516335	      0.788011	     -0.615661	             0	      0.855808	             0	             0	             0	             0	             0	             0	             0	             0	
     349	     349	       5	    SpecTran	      NoInfo	      0.855764	      0.855764	      -5.06582	       2.71631	      0.525314	     -0.874985	       0.48058	     0.0586902	      0.788011	     -0.615661	             0	      0.855764	             0	             0	             0	             0	             0	             0	             0	             0	
     350	     350	       5	    SpecTran	      NoInfo	      0.136035	      0.136035	      -3.45193	       4.78199	      0.276403	     -0.675883	      0.735195	      0.051678	      0.788011	     -0.615661	             0	      0.136035	             0	             0	             0	             0	             0	             0	             0	             0	
     351	     351	       5	    SpecTran	      NoInfo	      0.296001	      0.296001	      -3.79273	        4.3458	      0.960486	     -0.715012	      0.688674	      0.120354	      0.788011	     -0.615661	             0	      0.296001	             0	             0	             0	             0	             0	             0	             0	             0	
     352	     352	       5	    SpecTran	      NoInfo	      0.855735	      0.855735	      -5.31663	       2.39529	     0.0863533	     -0.892669	      0.450324	     0.0187058	      0.788011	     -0.615661	             0	      0.855735	             0	             0	             0	             0	             0	             0	             0	             0	
     353	     353	       5	    SpecTran	      NoInfo	      0.855798	      0.855798	       -4.8259	        3.0234	     -0.250605	     -0.852498	       0.52231	    -0.0209727	      0.788011	     -0.615661	             0	      0.855798	             0	             0	             0	             0	             0	             0	             0	             0	
     354	     354	       5	    SpecTran	      NoInfo	      0.855707	      0.855707	      -5.24393	       2.48834	     0.0216243	     -0.901122	      0.433552	    0.00350949	      0.788011	     -0.615661	             0	      0.855707	             0	             0	             0	             0	             0	             0	             0	             0	
     355	     355	       5	    SpecTran	      NoInfo	      0.385468	      0.385468	      -3.75072	       4.39956	      -1.64997	     -0.707939	      0.674901	     -0.208159	      0.788011	     -0.615661	             0	      0.385468	             0	             0	             0	             0	             0	             0	             0	             0	
     356	     356	       5	    SpecTran	      NoInfo	       0.61602	       0.61602	      -3.82569	       4.30361	      0.775781	     -0.738409	      0.669915	     0.0772464	      0.788011	     -0.615661	             0	       0.61602	             0	             0	             0	             0	             0	             0	             0	             0	
     357	     357	       5	    SpecTran	      NoInfo	     0.0710371	     0.0710371	      -3.01754	       5.33799	      0.447371	     -0.607915	      0.791274	     0.0657612	      0.788011	     -0.615661	             0	     0.0710371	             0	             0	             0	             0	             0	             0	             0	             0	
     358	     358	       5	    SpecTran	      NoInfo	       0.10893	       0.10893	      -3.31054	       4.96297	     0.0362013	      -0.65807	       0.75287	     0.0113831	      0.788011	     -0.615661	             0	       0.10893	             0	             0	             0	             0	             0	             0	             0	             0	
     359	     359	       5	    SpecTran	      NoInfo	     0.0880499	     0.0880499	      -3.22375	       5.07406	      0.707366	     -0.632042	      0.770255	     0.0850349	      0.788011	     -0.615661	             0	     0.0880499	             0	             0	             0	             0	             0	             0	             0	             0	
     360	     360	       5	    SpecTran	      NoInfo	      0.855798	      0.855798	      -4.68582	       3.20269	     -0.482504	     -0.846484	      0.530022	    -0.0504208	      0.788011	     -0.615661	             0	      0.855798	             0	             0	             0	             0	             0	             0	             0	             0	
     361	     361	       5	    SpecTran	      NoInfo	      0.855751	      0.855751	      -4.83663	       3.00966	      -1.08826	     -0.843902	      0.516688	     -0.144442	      0.788011	     -0.615661	             0	      0.855751	             0	             0	             0	             0	             0	             0	             0	             0	
     362	     362	       5	    SpecTran	      NoInfo	      0.206694	      0.206694	      -3.53869	       4.67095	       1.60975	     -0.684521	      0.703045	      0.192768	      0.788011	     -0.615661	             0	      0.206694	             0	             0	             0	             0	             0	             0	             0	             0	
     363	     363	       5	    SpecTran	      NoInfo	      0.855809	      0.855809	      -4.02911	       4.04324	     -0.278746	     -0.770089	      0.636333	    -0.0451921	      0.788011	     -0.615661	             0	      0.855809	             0	             0	             0	             0	             0	             0	             0	             0	
     364	     364	       5	    SpecTran	      NoInfo	      0.855804	      0.855804	      -4.57726	       3.34164	      0.401848	     -0.826228	      0.559726	     0.0636664	      0.788011	     -0.615661	             0	      0.855804	             0	             0	             0	             0	             0	             0	             0	             0	
     365	     365	       5	    SpecTran	      NoInfo	      0.855801	      0.855801	      -3.99872	       4.08214	      0.867337	     -0.759312	      0.643758	     0.0949809	      0.788011	     -0.615661	             0	      0.855801	             0	             0	             0	             0	             0	             0	             0	             0	
     366	     366	       5	    SpecTran	      NoInfo	      0.237322	      0.237322	      -3.59193	        4.6028	     -0.510899	     -0.710266	      0.700252	    -0.0719012	      0.788011	     -0.615661	             0	      0.237322	             0	             0	             0	             0	             0	             0	             0	             0	
     367	     367	       5	    SpecTran	      NoInfo	      0.115567	      0.115567	      -3.27218	       5.01206	      -1.65087	     -0.645294	      0.743428	     -0.175812	      0.788011	     -0.615661	             0	      0.115567	             0	             0	             0	             0	             0	             0	             0	             0	
     368	     368	       5	    SpecTran	      NoInfo	      0.129472	      0.129472	      -3.29136	       4.98752	       1.61818	     -0.654503	      0.734461	      0.179424	      0.788011	     -0.615661	             0	      0.129472	             0	             0	             0	             0	             0	             0	             0	             0	
     369	     369	       5	    SpecTran	      NoInfo	       0.35344	       0.35344	        -3.757	       4.39153	       -1.0453	     -0.719868	      0.681458	     -0.131931	      0.788011	     -0.615661	             0	       0.35344	             0	             0	             0	             0	             0	             0	             0	             0	
     370	     370	       5	    SpecTran	      NoInfo	      0.855669	      0.855669	      -4.55886	       3.36519	         -1.94	     -0.791644	       0.56675	     -0.228243	      0.788011	     -0.615661	             0	      0.855669	             0	             0	             0	             0	             0	             0	             0	             0	
     371	     371	       5	    SpecTran	      NoInfo	      0.855807	      0.855807	      -3.96299	       4.12787	      0.291571	     -0.754762	      0.654344	     0.0465651	      0.788011	     -0.615661	             0	      0.855807	             0	             0	             0	             0	             0	             0	             0	             0	
     372	     372	       5	    SpecTran	      NoInfo	      0.855777	      0.855777	      -4.76503	       3.10131	       1.04445	     -0.834337	      0.536735	      0.125686	      0.788011	     -0.615661	             0	      0.855777	             0	             0	             0	             0	             0	             0	             0	             0	
     373	     373	       5	    SpecTran	      NoInfo	      0.855777	      0.855777	      -4.34483	       3.63913	       1.21388	     -0.797868	      0.583477	       0.15153	      0.788011	     -0.615661	             0	      0.855777	             0	             0	             0	             0	             0	             0	             0	             0	
     374	     374	       5	    SpecTran	      NoInfo	       0.85581	       0.85581	      -4.34209	       3.64265	      0.358067	     -0.795031	      0.605546	     0.0352117	      0.788011	     -0.615661	             0	       0.85581	             0	             0	             0	             0	             0	             0	             0	             0	
     375	     375	       5	    SpecTran	      NoInfo	      0.623301	      0.623301	      -3.97741	       4.10941	      0.976484	     -0.732639	        0.6683	      0.128899	      0.788011	     -0.615661	             0	      0.623301	             0	             0	             0	             0	             0	             0	             0	             0	
     376	     376	       5	    SpecTran	      NoInfo	       0.85577	       0.85577	      -5.11474	       2.65369	     -0.609913	     -0.870879	      0.487581	    -0.0619213	      0.788011	     -0.615661	             0	       0.85577	             0	             0	             0	             0	             0	             0	             0	             0	
