
TracePro Release: 7 3 4 
Incident Ray Table for 

Linear Units in millimeters
Data for screen Surface 1
Data generated at 14:01:33 October 07, 2025

Ray     	Start   	Split   
Number  	Number  	Number  	Type        	Hist        	Inc Flux      	Abso Flux     	X Pos.        	Y Pos.        	Z Pos.        	X Vec.        	Y Vec.        	Z Vec.        	X Norm        	Y Norm        	Z Norm        	S0            	S1            	S2            	S3            	DegOfPol      	ElliRatio     	X MajAxis     	Y MajAxis     	Z MajAxis     	
Wavelength = 0.5 (Source: mysource)
      25	      25	       5	    SpecTran	      NoInfo	      0.855806	      0.855806	      -4.40406	       3.56333	      0.459851	     -0.810668	      0.581665	     0.0669533	      0.788011	     -0.615661	             0	      0.855806	             0	             0	             0	             0	             0	             0	             0	             0	
      26	      26	       5	    SpecTran	      NoInfo	       0.85581	       0.85581	      -4.34613	       3.63748	     0.0944828	      -0.79817	      0.602321	    -0.0116126	      0.788011	     -0.615661	             0	       0.85581	             0	             0	             0	             0	             0	             0	             0	             0	
      27	      27	       5	    SpecTran	      NoInfo	      0.855705	      0.855705	      -4.62359	       3.28234	      -1.75952	     -0.800759	       0.56155	     -0.208438	      0.788011	     -0.615661	             0	      0.855705	             0	             0	             0	             0	             0	             0	             0	             0	
      28	      28	       5	    SpecTran	      NoInfo	      0.855807	      0.855807	        -4.558	       3.36629	     -0.373494	     -0.826828	      0.561624	    -0.0305439	      0.788011	     -0.615661	             0	      0.855807	             0	             0	             0	             0	             0	             0	             0	             0	
      29	      29	       5	    SpecTran	      NoInfo	      0.137235	      0.137235	      -3.53797	       4.67188	     -0.860287	     -0.672512	      0.733528	    -0.0983069	      0.788011	     -0.615661	             0	      0.137235	             0	             0	             0	             0	             0	             0	             0	             0	
      30	      30	       5	    SpecTran	      NoInfo	      0.855744	      0.855744	       -5.1434	       2.61702	      0.651988	     -0.875876	      0.473928	     0.0907355	      0.788011	     -0.615661	             0	      0.855744	             0	             0	             0	             0	             0	             0	             0	             0	
      31	      31	       5	    SpecTran	      NoInfo	     0.0818326	     0.0818326	      -3.02414	       5.32954	     -0.705806	     -0.621367	      0.776448	     -0.105034	      0.788011	     -0.615661	             0	     0.0818326	             0	             0	             0	             0	             0	             0	             0	             0	
      32	      32	       5	    SpecTran	      NoInfo	      0.855778	      0.855778	      -5.07992	       2.69827	      0.290834	     -0.870219	       0.49125	     0.0373131	      0.788011	     -0.615661	             0	      0.855778	             0	             0	             0	             0	             0	             0	             0	             0	
      33	      33	       5	    SpecTran	      NoInfo	      0.228023	      0.228023	      -3.59559	       4.59812	      -1.40584	     -0.691194	      0.698031	     -0.187093	      0.788011	     -0.615661	             0	      0.228023	             0	             0	             0	             0	             0	             0	             0	             0	
      34	      34	       5	    SpecTran	      NoInfo	      0.855766	      0.855766	      -4.01768	       4.05787	       1.16432	     -0.750977	      0.639793	      0.163397	      0.788011	     -0.615661	             0	      0.855766	             0	             0	             0	             0	             0	             0	             0	             0	
      35	      35	       5	    SpecTran	      NoInfo	      0.391291	      0.391291	      -3.72103	       4.43757	      0.685369	      -0.72914	      0.679659	     0.0801112	      0.788011	     -0.615661	             0	      0.391291	             0	             0	             0	             0	             0	             0	             0	             0	
      36	      36	       5	    SpecTran	      NoInfo	      0.855788	      0.855788	      -3.90291	       4.20477	        1.0996	     -0.738042	      0.664062	      0.119646	      0.788011	     -0.615661	             0	      0.855788	             0	             0	             0	             0	             0	             0	             0	             0	
      37	      37	       5	    SpecTran	      NoInfo	      0.221199	      0.221199	      -3.59539	       4.59838	     -0.513783	     -0.708198	       0.70433	    -0.0487255	      0.788011	     -0.615661	             0	      0.221199	             0	             0	             0	             0	             0	             0	             0	             0	
      38	      38	       5	    SpecTran	      NoInfo	      0.855742	      0.855742	      -4.14905	       3.88972	        1.5691	     -0.749455	      0.635367	       0.18608	      0.788011	     -0.615661	             0	      0.855742	             0	             0	             0	             0	             0	             0	             0	             0	
      39	      39	       5	    SpecTran	      NoInfo	      0.855768	      0.855768	      -5.08076	       2.69719	      0.764584	     -0.863011	      0.497017	     0.0904754	      0.788011	     -0.615661	             0	      0.855768	             0	             0	             0	             0	             0	             0	             0	             0	
      40	      40	       5	    SpecTran	      NoInfo	      0.855717	      0.855717	      -4.71399	       3.16664	      -1.36735	     -0.835519	      0.519455	     -0.179095	      0.788011	     -0.615661	             0	      0.855717	             0	             0	             0	             0	             0	             0	             0	             0	
      41	      41	       5	    SpecTran	      NoInfo	      0.855792	      0.855792	      -4.66272	       3.23225	       0.70629	     -0.841669	      0.533265	     0.0849851	      0.788011	     -0.615661	             0	      0.855792	             0	             0	             0	             0	             0	             0	             0	             0	
      42	      42	       5	    SpecTran	      NoInfo	      0.855607	      0.855607	      -4.92829	       2.89234	      -1.74726	     -0.839868	      0.495686	     -0.221173	      0.788011	     -0.615661	             0	      0.855607	             0	             0	             0	             0	             0	             0	             0	             0	
      43	      43	       5	    SpecTran	      NoInfo	      0.120661	      0.120661	      -3.26869	       5.01653	       1.41687	     -0.649263	      0.740058	      0.175419	      0.788011	     -0.615661	             0	      0.120661	             0	             0	             0	             0	             0	             0	             0	             0	
      44	      44	       5	    SpecTran	      NoInfo	     0.0931268	     0.0931268	      -3.13157	       5.19204	       0.63298	      -0.64035	      0.765776	     0.0594882	      0.788011	     -0.615661	             0	     0.0931268	             0	             0	             0	             0	             0	             0	             0	             0	
      45	      45	       5	    SpecTran	      NoInfo	      0.355787	      0.355787	      -3.69939	       4.46526	      -1.60601	     -0.709218	      0.678491	     -0.191466	      0.788011	     -0.615661	             0	      0.355787	             0	             0	             0	             0	             0	             0	             0	             0	
      46	      46	       5	    SpecTran	      NoInfo	      0.192926	      0.192926	      -3.54946	       4.65716	       1.56656	     -0.683307	      0.707752	      0.179384	      0.788011	     -0.615661	             0	      0.192926	             0	             0	             0	             0	             0	             0	             0	             0	
      47	      47	       5	    SpecTran	      NoInfo	      0.855785	      0.855785	      -4.50471	        3.4345	      0.965102	     -0.806414	      0.575403	      0.136407	      0.788011	     -0.615661	             0	      0.855785	             0	             0	             0	             0	             0	             0	             0	             0	
      48	      48	       5	    SpecTran	      NoInfo	      0.186928	      0.186928	      -3.63557	       4.54695	      -1.52976	     -0.681698	      0.709725	     -0.177703	      0.788011	     -0.615661	             0	      0.186928	             0	             0	             0	             0	             0	             0	             0	             0	
      49	      49	       5	    SpecTran	      NoInfo	      0.855755	      0.855755	      -4.93181	       2.88784	       -1.0212	     -0.848378	      0.511947	     -0.134778	      0.788011	     -0.615661	             0	      0.855755	             0	             0	             0	             0	             0	             0	             0	             0	
      50	      50	       5	    SpecTran	      NoInfo	      0.256072	      0.256072	      -3.67612	       4.49504	       0.90706	     -0.712157	      0.696047	     0.0913822	      0.788011	     -0.615661	             0	      0.256072	             0	             0	             0	             0	             0	             0	             0	             0	
      51	      51	       5	    SpecTran	      NoInfo	      0.855702	      0.855702	      -4.52154	       3.41296	      -1.63413	     -0.792455	      0.571629	     -0.212731	      0.788011	     -0.615661	             0	      0.855702	             0	             0	             0	             0	             0	             0	             0	             0	
      52	      52	       5	    SpecTran	      NoInfo	      0.855722	      0.855722	      -4.46524	       3.48503	      -1.83387	     -0.788844	      0.580409	     -0.202113	      0.788011	     -0.615661	             0	      0.855722	             0	             0	             0	             0	             0	             0	             0	             0	
      53	      53	       5	    SpecTran	      NoInfo	      0.855754	      0.855754	      -5.03189	       2.75974	     -0.601442	      -0.87299	      0.480398	    -0.0843024	      0.788011	     -0.615661	             0	      0.855754	             0	             0	             0	             0	             0	             0	             0	             0	
      54	      54	       5	    SpecTran	      NoInfo	      0.855737	      0.855737	      -4.05738	       4.00706	      -1.51545	        -0.745	      0.639926	     -0.188335	      0.788011	     -0.615661	             0	      0.855737	             0	             0	             0	             0	             0	             0	             0	             0	
      55	      55	       5	    SpecTran	      NoInfo	      0.855671	      0.855671	      -4.42195	       3.54043	       1.82781	     -0.779637	      0.582485	      0.229952	      0.788011	     -0.615661	             0	      0.855671	             0	             0	             0	             0	             0	             0	             0	             0	
      56	      56	       5	    SpecTran	      NoInfo	      0.855792	      0.855792	      -4.56489	       3.35747	     -0.919848	     -0.827862	      0.551094	     -0.104589	      0.788011	     -0.615661	             0	      0.855792	             0	             0	             0	             0	             0	             0	             0	             0	
      57	      57	       5	    SpecTran	      NoInfo	        0.2487	        0.2487	      -3.73625	       4.41809	     0.0166048	     -0.715474	      0.698634	    -0.0027206	      0.788011	     -0.615661	             0	        0.2487	             0	             0	             0	             0	             0	             0	             0	             0	
      58	      58	       5	    SpecTran	      NoInfo	      0.855674	      0.855674	      -5.44354	       2.23285	      0.770317	     -0.899999	      0.428967	     0.0773918	      0.788011	     -0.615661	             0	      0.855674	             0	             0	             0	             0	             0	             0	             0	             0	
      59	      59	       5	    SpecTran	      NoInfo	      0.183321	      0.183321	      -3.61258	       4.57637	      -1.15394	     -0.685113	      0.712087	     -0.153471	      0.788011	     -0.615661	             0	      0.183321	             0	             0	             0	             0	             0	             0	             0	             0	
      60	      60	       5	    SpecTran	      NoInfo	      0.115787	      0.115787	      -3.27833	        5.0042	     -0.553994	     -0.661728	       0.74742	    -0.0589773	      0.788011	     -0.615661	             0	      0.115787	             0	             0	             0	             0	             0	             0	             0	             0	
      61	      61	       5	    SpecTran	      NoInfo	      0.855781	      0.855781	      -4.65294	       3.24478	      -1.05588	     -0.822475	      0.553311	     -0.131841	      0.788011	     -0.615661	             0	      0.855781	             0	             0	             0	             0	             0	             0	             0	             0	
      62	      62	       5	    SpecTran	      NoInfo	      0.187933	      0.187933	      -3.63906	       4.54248	      0.254506	     -0.700096	      0.713951	     0.0117932	      0.788011	     -0.615661	             0	      0.187933	             0	             0	             0	             0	             0	             0	             0	             0	
      63	      63	       5	    SpecTran	      NoInfo	       0.85581	       0.85581	      -4.08704	        3.9691	     -0.065463	     -0.764475	      0.644476	     0.0151442	      0.788011	     -0.615661	             0	       0.85581	             0	             0	             0	             0	             0	             0	             0	             0	
      64	      64	       5	    SpecTran	      NoInfo	      0.855747	      0.855747	      -4.37428	       3.60145	       -1.4821	     -0.799407	      0.572667	     -0.181662	      0.788011	     -0.615661	             0	      0.855747	             0	             0	             0	             0	             0	             0	             0	             0	
      65	      65	       5	    SpecTran	      NoInfo	      0.855755	      0.855755	       -5.1289	       2.63558	      0.710454	     -0.867917	      0.487096	     0.0972504	      0.788011	     -0.615661	             0	      0.855755	             0	             0	             0	             0	             0	             0	             0	             0	
      66	      66	       5	    SpecTran	      NoInfo	      0.855673	      0.855673	      -4.02496	       4.04855	       2.05899	     -0.742235	       0.63072	      0.226452	      0.788011	     -0.615661	             0	      0.855673	             0	             0	             0	             0	             0	             0	             0	             0	
      67	      67	       5	    SpecTran	      NoInfo	      0.855778	      0.855778	      -4.01001	       4.06769	      -1.21101	     -0.741378	      0.656118	     -0.140958	      0.788011	     -0.615661	             0	      0.855778	             0	             0	             0	             0	             0	             0	             0	             0	
      68	      68	       5	    SpecTran	      NoInfo	      0.855798	      0.855798	      -3.92107	       4.18153	      0.686035	     -0.744351	      0.660869	     0.0958786	      0.788011	     -0.615661	             0	      0.855798	             0	             0	             0	             0	             0	             0	             0	             0	
      69	      69	       5	    SpecTran	      NoInfo	     0.0796717	     0.0796717	      -3.14243	       5.17815	     -0.086363	     -0.624871	      0.780697	    0.00694066	      0.788011	     -0.615661	             0	     0.0796717	             0	             0	             0	             0	             0	             0	             0	             0	
